,wave,telluric
826,6258.26,1.0
827,6258.27,1.0
828,6258.28,1.0
829,6258.29,1.0
830,6258.3,1.0
831,6258.31,1.0
832,6258.32,1.0
833,6258.33,1.0
834,6258.34,1.0
835,6258.35,1.0
836,6258.36,1.0
837,6258.37,1.0
838,6258.38,1.0
839,6258.39,1.0
840,6258.4,1.0
841,6258.41,1.0
842,6258.42,1.0
843,6258.43,1.0
844,6258.44,1.0
845,6258.45,1.0
846,6258.46,1.0
847,6258.47,1.0
848,6258.48,1.0
849,6258.49,1.0
850,6258.5,1.0
851,6258.51,1.0
852,6258.52,1.0
853,6258.53,1.0
854,6258.54,1.0
855,6258.55,1.0
856,6258.56,1.0
857,6258.57,1.0
858,6258.58,1.0
859,6258.59,1.0
860,6258.6,1.0
861,6258.61,1.0
862,6258.62,1.0
863,6258.63,1.0
864,6258.64,1.0
865,6258.65,1.0
866,6258.66,1.0
867,6258.67,1.0
868,6258.68,1.0
869,6258.69,1.0
870,6258.7,1.0
871,6258.71,1.0
872,6258.72,1.0
873,6258.73,1.0
874,6258.74,1.0
875,6258.75,1.0
876,6258.76,1.0
877,6258.77,1.0
878,6258.78,1.0
879,6258.79,1.0
880,6258.8,1.0
881,6258.81,1.0
882,6258.82,1.0
883,6258.83,1.0
884,6258.84,1.0
885,6258.85,1.0
886,6258.86,1.0
887,6258.87,1.0
888,6258.88,1.0
889,6258.89,1.0
890,6258.9,1.0
891,6258.91,1.0
892,6258.92,1.0
893,6258.93,1.0
894,6258.94,1.0
895,6258.95,1.0
896,6258.96,1.0
897,6258.97,1.0
898,6258.98,1.0
899,6258.99,1.0
900,6259.0,1.0
901,6259.01,1.0
902,6259.02,1.0
903,6259.03,1.0
904,6259.04,1.0
905,6259.05,1.0
906,6259.06,1.0
907,6259.07,1.0
908,6259.08,1.0
909,6259.09,1.0
910,6259.1,1.0
911,6259.11,1.0
912,6259.12,1.0
913,6259.13,1.0
914,6259.14,1.0
915,6259.15,1.0
916,6259.16,1.0
917,6259.17,1.0
918,6259.18,1.0
919,6259.19,1.0
920,6259.2,1.0
921,6259.21,1.0
922,6259.22,1.0
923,6259.23,1.0
924,6259.24,1.0
925,6259.25,1.0
926,6259.26,1.0
927,6259.27,1.0
928,6259.28,1.0
929,6259.29,1.0
930,6259.3,1.0
931,6259.31,1.0
932,6259.32,1.0
933,6259.33,1.0
934,6259.34,1.0
935,6259.35,1.0
936,6259.36,1.0
937,6259.37,1.0
938,6259.38,1.0
939,6259.39,1.0
940,6259.4,1.0
941,6259.41,1.0
942,6259.42,1.0
943,6259.43,1.0
944,6259.44,1.0
945,6259.45,1.0
946,6259.46,1.0
947,6259.47,1.0
948,6259.48,1.0
949,6259.49,1.0
950,6259.5,1.0
951,6259.51,1.0
952,6259.52,1.0
953,6259.53,1.0
954,6259.54,1.0
955,6259.55,1.0
956,6259.56,1.0
957,6259.57,1.0
958,6259.58,1.0
959,6259.59,1.0
960,6259.6,1.0
961,6259.61,1.0
962,6259.62,1.0
963,6259.63,1.0
964,6259.64,1.0
965,6259.65,1.0
966,6259.66,1.0
967,6259.67,1.0
968,6259.68,1.0
969,6259.69,1.0
970,6259.7,1.0
971,6259.71,1.0
972,6259.72,1.0
973,6259.73,1.0
974,6259.74,1.0
975,6259.75,1.0
976,6259.76,1.0
977,6259.77,1.0
978,6259.78,1.0
979,6259.79,1.0
980,6259.8,1.0
981,6259.81,1.0
982,6259.82,1.0
983,6259.83,1.0
984,6259.84,1.0
985,6259.85,1.0
986,6259.86,1.0
987,6259.87,1.0
988,6259.88,1.0
989,6259.89,1.0
990,6259.9,1.0
991,6259.91,1.0
992,6259.92,1.0
993,6259.93,1.0
