,star,jdb,Xlum,Xlum_std,ins,source,flag,finch_offset
54,HD128621,49945.72964326981,13.874820414485336,0.5,Xlum,Ayres+14,0,0
55,HD128621,50122.961871750405,14.444856555598665,0.5,Xlum,Ayres+14,0,0
56,HD128621,50313.25649913347,11.612301389398,0.5,Xlum,Ayres+14,0,0
57,HD128621,50857.64818162668,4.388270382738906,0.5,Xlum,Ayres+14,0,0
58,HD128621,51528.1854419412,3.6757300244522084,0.5,Xlum,Ayres+14,0,0
59,HD128621,52718.44020797228,15.441754724606135,0.5,Xlum,Ayres+14,0,0
60,HD128621,52908.21490467935,14.847213016072642,0.5,Xlum,Ayres+14,0,0
61,HD128621,53047.4991334489,16.405908987516124,0.5,Xlum,Ayres+14,0,0
62,HD128621,53212.421143847445,9.404313759388756,0.5,Xlum,Ayres+14,0,0
63,HD128621,53415.28076396915,11.946048524048955,0.5,Xlum,Ayres+14,0,0
64,HD128621,53643.010407238886,9.797434945784614,0.5,Xlum,Ayres+14,0,0
65,HD128621,53858.08838821497,4.085911051022787,0.5,Xlum,Ayres+14,0,0
66,HD128621,53782.178509532176,5.186289018518969,0.5,Xlum,Ayres+14,0,0
67,HD128621,54085.81802426344,4.007931089514198,0.5,Xlum,Ayres+14,0,0
68,HD128621,54250.28942807636,2.6937181099592267,0.5,Xlum,Ayres+14,0,0
69,HD128621,54440.06412478335,2.8608238361556335,0.5,Xlum,Ayres+14,0,0
70,HD128621,54604.91508238261,3.161377919439841,0.5,Xlum,Ayres+14,0,0
71,HD128621,54820.58233356995,3.425180499190728,0.5,Xlum,Ayres+14,0,0
72,HD128621,54972.43327556326,6.475651432924005,0.5,Xlum,Ayres+14,0,0
73,HD128621,54858.56845753906,5.201507522655002,0.5,Xlum,Ayres+14,0,0
74,HD128621,55187.51126516457,8.226130574524156,0.5,Xlum,Ayres+14,0,0
75,HD128621,55415.240901213205,10.244353794903304,0.5,Xlum,Ayres+14,0,0
76,HD128621,55491.15077989608,13.269976727626865,0.5,Xlum,Ayres+14,0,0
77,HD128621,55731.532062391714,10.051264508500534,0.5,Xlum,Ayres+14,0,0
78,HD128621,55921.30675909879,16.866959394315906,0.5,Xlum,Ayres+14,0,0
79,HD128621,56098.89948550536,13.558976071718465,0.5,Xlum,Ayres+14,0,0
80,HD128621,56263.82148954518,11.569548910710019,0.5,Xlum,Ayres+14,0,0
81,HD128621,56466.32755632586,8.762379424955494,0.5,Xlum,Ayres+14,0,0
82,HD128621,56630.798960138694,9.122060471639266,0.5,Xlum,Ayres+14,0,0
83,HD128621,52714.82245967638,15.005743541377248,0.5,Xlum,Ayres+23,0,0
84,HD128621,52911.673576432026,15.933274327505533,0.5,Xlum,Ayres+23,0,0
85,HD128621,53043.162562703736,17.653002065457763,0.5,Xlum,Ayres+23,0,0
86,HD128621,53222.42677587224,9.317192826352974,0.5,Xlum,Ayres+23,0,0
87,HD128621,53404.35972281629,15.410944852236083,0.5,Xlum,Ayres+23,0,0
88,HD128621,53608.25664933989,10.152342962355894,0.5,Xlum,Ayres+23,0,0
89,HD128621,53665.321495388904,8.934576918894466,0.5,Xlum,Ayres+23,0,0
90,HD128621,53778.17758909836,4.079067955820265,0.5,Xlum,Ayres+23,0,0
91,HD128621,53868.314571288094,4.04501215207336,0.5,Xlum,Ayres+23,0,0
92,HD128621,53966.60660861214,3.943484320941551,0.5,Xlum,Ayres+23,0,0
93,HD128621,54097.868075383405,4.151272321806825,0.5,Xlum,Ayres+23,0,0
94,HD128621,54154.23450180285,2.7341257279035514,0.5,Xlum,Ayres+23,0,0
95,HD128621,54269.08314980248,2.853687617472513,0.5,Xlum,Ayres+23,0,0
96,HD128621,54449.50090608606,2.9787819679549137,0.5,Xlum,Ayres+23,0,0
97,HD128621,54622.293351682696,3.3005017302019812,0.5,Xlum,Ayres+23,0,0
98,HD128621,54803.102419010465,3.301428448453858,0.5,Xlum,Ayres+23,0,0
99,HD128621,55001.32660741155,5.997633863436099,0.5,Xlum,Ayres+23,0,0
100,HD128621,55190.33079454178,7.361344602996182,0.5,Xlum,Ayres+23,0,0
101,HD128621,55339.46354082621,14.315895992227787,0.5,Xlum,Ayres+23,0,0
102,HD128621,55502.81114391937,11.279019672909445,0.5,Xlum,Ayres+23,0,0
103,HD128621,55731.7073135958,8.811836650934804,0.5,Xlum,Ayres+23,0,0
104,HD128621,55929.46901118752,13.614607555390323,0.5,Xlum,Ayres+23,0,0
105,HD128621,56101.668122928466,11.581962073193422,0.5,Xlum,Ayres+23,0,0
106,HD128621,56290.24261709421,9.604262404677135,0.5,Xlum,Ayres+23,0,0
107,HD128621,56478.22725311494,7.697285712852463,0.5,Xlum,Ayres+23,0,0
108,HD128621,56658.66555109911,8.103487468503811,0.5,Xlum,Ayres+23,0,0
109,HD128621,56838.17947255677,5.813170683171018,0.5,Xlum,Ayres+23,0,0
110,HD128621,57027.1425764171,7.014328949029226,0.5,Xlum,Ayres+23,0,0
111,HD128621,57149.509490712975,5.526004554827896,0.5,Xlum,Ayres+23,0,0
112,HD128621,57312.77492060673,4.20780659070523,0.5,Xlum,Ayres+23,0,0
113,HD128621,57510.12404947007,4.783214541151847,0.5,Xlum,Ayres+23,0,0
114,HD128621,57674.78430057737,5.390880582927274,0.5,Xlum,Ayres+23,0,0
115,HD128621,57872.94055475711,8.993257954438512,0.5,Xlum,Ayres+23,0,0
116,HD128621,58062.00636698918,11.324015775483993,0.5,Xlum,Ayres+23,0,0
117,HD128621,58259.53535986437,15.930021471879222,0.5,Xlum,Ayres+23,0,0
118,HD128621,58472.224127775036,13.437516494825726,0.5,Xlum,Ayres+23,0,0
119,HD128621,58644.589537427164,14.8888192952366,0.5,Xlum,Ayres+23,0,0
120,HD128621,58898.74411982092,14.518636938979164,0.5,Xlum,Ayres+23,0,0
121,HD128621,59006.16258146334,18.435542086698543,0.5,Xlum,Ayres+23,0,0
122,HD128621,59512.20280192538,6.039876565952382,0.5,Xlum,Ayres+23,0,0
123,HD128621,60076.853067748096,4.190070782304004,0.5,Xlum,Ayres+23,0,0
124,HD128621,60192.52338377138,6.150241870397421,0.5,Xlum,Ayres+23,0,0
