,HARPN,CORALIE14,ESPRESSO19,HARPS03,HARPS15,VSINI,ESPRESSO18,CORALIE07,CORALIE98,SOPHIE,SOPHIE-HE
93,7.753647497150545,8.633377047588429,8.151674416172764,7.737285072243888,7.759125843059524,4.510033444816054,8.151674416172764,8.633377047588429,8.633377047588429,8.633377047588429,9.30672009658003
94,7.798699312075064,8.670619197760427,8.209419074822083,7.783869336240917,7.805209691002921,4.558528428093646,8.209419074822083,8.670619197760427,8.670619197760427,8.670619197760427,9.336495617706477
95,7.843830587684603,8.708208790813416,8.267562789608089,7.831937818786479,7.852961858213398,4.607023411371237,8.267562789608089,8.708208790813416,8.708208790813416,8.708208790813416,9.366595618886352
96,7.88916351347665,8.746143467938246,8.326073305399184,7.881320804797349,7.902186212360491,4.65551839464883,8.326073305399184,8.746143467938246,8.746143467938246,8.746143467938246,9.397019113581422
97,7.934820278948682,8.784420855126273,8.384918367063753,7.931848579190295,7.952686621113735,4.7040133779264215,8.384918367063753,8.784420855126273,8.784420855126273,8.784420855126273,9.427765085321765
98,7.980923073598188,8.823038564676262,8.4440657194702,7.983351426882091,8.004266952142666,4.752508361204014,8.4440657194702,8.823038564676262,8.823038564676262,8.823038564676262,9.458832488625992
99,8.027594086922646,8.861994196630476,8.503483107486907,8.035659632789507,8.056731073116818,4.801003344481606,8.503483107486907,8.861994196630476,8.861994196630476,8.861994196630476,9.49022024989091
100,8.074955508419539,8.90128534014092,8.56313827598228,8.088603481829319,8.109882851705729,4.849498327759197,8.56313827598228,8.90128534014092,8.90128534014092,8.90128534014092,9.521927268250668
101,8.123129527586356,8.940909574766772,8.622998969824707,8.142013258918295,8.163526155578934,4.89799331103679,8.622998969824707,8.940909574766772,8.940909574766772,8.940909574766772,9.553952416405462
102,8.172238333920573,8.980864471703988,8.683032933882586,8.195719248973212,8.217464852405968,4.946488294314381,8.683032933882586,8.980864471703988,8.980864471703988,8.980864471703988,9.586294541419823
103,8.222404116919677,9.021147594948111,8.743207913024309,8.249551736910837,8.271502809856365,4.994983277591974,8.743207913024309,9.021147594948111,9.021147594948111,9.021147594948111,9.618952465490537
104,8.273719933894167,9.061756502391267,8.8034987288935,8.303363312314712,8.325470141519792,5.043478260869565,8.8034987288935,9.061756502391267,9.061756502391267,9.061756502391267,9.651924986684156
105,8.326119604652481,9.102688746854367,8.863918885022311,8.357128482818053,8.37934042205741,5.091973244147157,8.863918885022311,9.102688746854367,9.102688746854367,9.102688746854367,9.685210879644117
106,8.379482815114416,9.143941877055518,8.924495035118088,8.41086320293713,8.433135996712512,5.1404682274247495,8.924495035118088,9.143941877055518,9.143941877055518,9.143941877055518,9.718808896267445
107,8.433689206447308,9.18551343851566,8.985253843759399,8.464583461452328,8.486879251046982,5.188963210702341,8.985253843759399,9.18551343851566,9.18551343851566,9.18551343851566,9.752717766351015
108,8.48861841981851,9.22740097440241,9.046221975524826,8.51830524714403,8.540592570622726,5.237458193979934,9.046221975524826,9.22740097440241,9.22740097440241,9.22740097440241,9.786936198207313
109,8.544150096395349,9.269602026313157,9.107426094992942,8.572044548792618,8.594298341001629,5.285953177257525,9.107426094992942,9.269602026313157,9.269602026313157,9.269602026313157,9.821462879249703
110,8.600163877345175,9.312114134998366,9.168892866742326,8.625817355178478,8.648018947745589,5.334448160535118,9.168892866742326,9.312114134998366,9.312114134998366,9.312114134998366,9.856296476547113
111,8.656539403835326,9.35493484102616,9.23064895535155,8.67963965508199,8.7017767764165,5.382943143812709,9.23064895535155,9.35493484102616,9.35493484102616,9.35493484102616,9.891435637348136
112,8.713156317033148,9.398061685389116,9.292721025399196,8.733527437283541,8.755594212576256,5.431438127090301,9.292721025399196,9.398061685389116,9.398061685389116,9.398061685389116,9.92687898957449
113,8.769894258105976,9.44149221005434,9.35513574146384,8.787496690563511,8.809493641786753,5.479933110367893,9.35513574146384,9.44149221005434,9.44149221005434,9.44149221005434,9.962625142283803
114,8.826637866131547,9.485223958457796,9.417917384367149,8.84156338922944,8.86349724824266,5.528428093645485,9.417917384367149,9.485223958457796,9.485223958457796,9.485223958457796,9.998672686101722
